Specimen_ID,Latitude,Longitude,Country,Species,Sex,ddRADseq data,mtDNA data,mtHaplotype,Population_assignment,Subpopulation_assignment,Date_collected
Pr_2000,49.61,19.5,Poland,Pieris rapae,M,Yes,Yes,Pra1,2,2.7,7-Aug-16
Pr_2005,49.61,19.5,Poland,Pieris rapae,F,Yes,Yes,Pra23,2,2.7,7-Aug-16
Pr_775,40.01,-8.73,Portugal,Pieris rapae,M,Yes,No,NA,2,NA,5-Jun-14
Pr_774,40.01,-8.73,Portugal,Pieris rapae,F,Yes,Yes,Pra2,NA,NA,5-Jun-14
Pr_2071,44.06,27.65,Romania,Pieris rapae,F,Yes,Yes,Pra2,2,2.8,23-May-07
Pr_2070,45.09,26.53,Romania,Pieris rapae,M,Yes,Yes,Pra14,2,2.8,26-May-07
Pr_2069,46.78,23.96,Romania,Pieris rapae,M,Yes,Yes,Pra70,2,2.8,30-May-07
Pr_2072,45.18,22.3,Romania,Pieris rapae,M,Yes,Yes,Pra2,2,2.8,5-Jun-07
Pr_2068,45.18,24.11,Romania,Pieris rapae,F,Yes,Yes,Pra2,2,2.8,7-Jun-07
Pr_2067,44.94,26.03,Romania,Pieris rapae,F,Yes,Yes,Pra14,2,2.8,26-Jul-07
Pr_2074,47.38,25.48,Romania,Pieris rapae,F,Yes,Yes,Pra4,2,2.8,7-Aug-07
Pr_2073,47.18,27.48,Romania,Pieris rapae,F,Yes,Yes,Pra2,2,2.8,28-Sep-07
Pr_2063,46.74,25.66,Romania,Pieris rapae,M,Yes,Yes,Pra2,2,2.8,1-Jun-08
Pr_2062,45.3,22.89,Romania,Pieris rapae,F,Yes,Yes,Pra2,2,2.8,21-Jul-08
Pr_2054,47.76,23.61,Romania,Pieris rapae,M,Yes,Yes,Pra2,2,NA,29-Jul-10
Pr_1941,44.47,28.49,Romania,Pieris rapae,M,Yes,Yes,Pra36,2,NA,27-Jul-14
Pr_992,62.03,129.33,Russia,Pieris rapae,M,Yes,Yes,Pra47,6,6.1,2014
Pr_993,62.03,129.33,Russia,Pieris rapae,M,Yes,Yes,Pra47,6,6.1,2014
Pr_2090,59.45,94.07,Russia,Pieris rapae,M,Yes,No,NA,6,NA,8-Aug-15
Pr_2089,59.45,94.07,Russia,Pieris rapae,M,Yes,Yes,Pra1,6,NA,8-Aug-15
Pr_2094,53.91,56.47,Russia,Pieris napi,F,Yes,Yes,Pna_4,NA,NA,6/12-19/2016
Pr_2096,53.91,56.47,Russia,Pieris rapae,M,Yes,Yes,Pra2,2,NA,6/12-19/2016
Pr_2099,53.91,56.47,Russia,Pieris rapae,F,Yes,Yes,Pra2,2,NA,6/12-19/2016
Pr_2100,53.91,56.47,Russia,Pieris rapae,F,Yes,Yes,Pra2,2,NA,6/12-19/2016
Pr_2107,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra71,6,6.1,6/7-11/2016
Pr_2108,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra71,6,6.1,6/7-11/2016
Pr_2109,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra47,6,6.1,6/7-11/2016
Pr_2110,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra71,6,6.1,6/7-11/2016
Pr_2101,62.02,129.6,Russia,Pieris rapae,F,Yes,Yes,Pra71,6,6.1,7/7-11/2016
Pr_2102,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra71,6,6.1,7/7-11/2016
Pr_2103,62.02,129.6,Russia,Pieris rapae,F,Yes,Yes,Pra47,6,6.1,7/7-11/2016
Pr_2104,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra71,6,6.1,7/7-11/2016
Pr_2105,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra47,6,6.1,7/7-11/2016
Pr_2106,62.02,129.6,Russia,Pieris rapae,M,Yes,Yes,Pra47,6,6.1,7/7-11/2016
Pr_2120,33.48,126.71,South Korea,Pieris rapae,M,Yes,Yes,Pra1,NA,NA,22-Jul-02
Pr_2115,37.17,128.37,South Korea,Pieris rapae,M,Yes,Yes,Pra1,NA,NA,7-Jun-03
Pr_2116,37.77,127.78,South Korea,Pieris rapae,M,Yes,Yes,Pra1,NA,NA,17-Jul-03
Pr_2123,37.42,126.42,South Korea,Pieris rapae,F,Yes,No,NA,7,NA,19-Jul-03
Pr_2121,37.42,126.42,South Korea,Pieris rapae,M,Yes,No,NA,NA,NA,19-Jul-03
Pr_2119,37.77,127.79,South Korea,Pieris rapae,F,Yes,Yes,Pra1,NA,NA,28-Jul-03
Pr_2113,36.61,129.39,South Korea,Pieris rapae,M,Yes,Yes,Pra1,NA,NA,8-Oct-03
Pr_2117,37.17,127.06,South Korea,Pieris rapae,F,Yes,Yes,Pra74,7,NA,5-Jul-06
Pr_2118,33.43,126.47,South Korea,Pieris rapae,M,Yes,Yes,Pra75,NA,NA,10-Apr-09
Pr_2111,36.45,126.88,South Korea,Pieris rapae,F,Yes,Yes,Pra72,7,NA,8-Jun-11
Pr_2112,36.45,126.88,South Korea,Pieris rapae,M,Yes,Yes,Pra73,7,NA,8-Jun-11
Pr_844,42.01,2.47,Spain,Pieris rapae,F,Yes,Yes,Pra7,NA,NA,2014
Pr_857,41.7,2.43,Spain,Pieris rapae,M,No,Yes,Pra4,NA,NA,2014
Pr_2061,42.05,-8.94,Spain,Pieris rapae,F,Yes,Yes,Pra65,2,NA,5-Apr-08
Pr_2066,36.84,-5.35,Spain,Pieris rapae,M,Yes,Yes,Pra14,2,NA,2-May-08
Pr_2065,42.42,-5.31,Spain,Pieris rapae,M,Yes,Yes,Pra37,2,NA,18-Jun-08
Pr_2049,37.1,-3.53,Spain,Pieris rapae,F,Yes,Yes,Pra2,2,NA,13-May-11
Pr_868,40.58,-3.25,Spain,Pieris rapae,M,Yes,Yes,Pra2,NA,NA,29-Mar-12
Pr_869,40.58,-3.25,Spain,Pieris rapae,M,Yes,Yes,Pra37,2,NA,20-Apr-13
Pr_875,40.9,-3.02,Spain,Pieris rapae,F,Yes,No,NA,NA,NA,13-Aug-13
Pr_873,40.9,-4.02,Spain,Pieris rapae,F,No,Yes,Pra22,NA,NA,13-Aug-13
Pr_874,40.9,-4.02,Spain,Pieris rapae,F,Yes,Yes,Pra14,NA,NA,13-Aug-13
Pr_867,40.58,-3.25,Spain,Pieris rapae,M,Yes,Yes,Pra15,2,2.4,30-Mar-14
Pr_880,40.46,-3.34,Spain,Pieris rapae,M,Yes,Yes,Pra14,2,2.4,1-Apr-14
Pr_882,40.46,-3.34,Spain,Pieris rapae,M,Yes,Yes,Pra14,2,2.4,1-Apr-14
Pr_879,40.5,-3.26,Spain,Pieris rapae,M,Yes,Yes,Pra1,2,2.4,13-Apr-14
Pr_876,40.57,-3.15,Spain,Pieris rapae,M,Yes,Yes,Pra2,2,2.4,7-May-14
Pr_842,42.01,2.47,Spain,Pieris rapae,M,Yes,No,NA,2,2.4,6-Jul-14
Pr_877,40.9,-3.02,Spain,Pieris rapae,M,Yes,Yes,Pra38,2,2.4,15-Aug-14
Pr_883,40.9,-4.02,Spain,Pieris rapae,M,Yes,No,NA,NA,NA,5-Sep-14
Pr_1984,40.62,-2.72,Spain,Pieris rapae,M,Yes,Yes,Pra1,2,2.4,7-Jun-15
Pr_1985,39.19,-1.74,Spain,Pieris rapae,F,Yes,Yes,Pra65,2,2.4,8-Jun-15
Pr_1974,40.34,-5.79,Spain,Pieris rapae,M,Yes,Yes,Pra14,2,2.4,20-Jun-15
Pr_1975,40.02,-5.73,Spain,Pieris rapae,M,Yes,Yes,Pra1,2,2.4,21-Jun-15
Pr_1986,39.54,-3.24,Spain,Pieris rapae,F,Yes,Yes,Pra2,2,2.4,29-Jun-15
Pr_1987,41.29,-1.51,Spain,Pieris rapae,M,Yes,Yes,Pra14,2,2.4,20-Jul-15
Pr_1982,41.53,1.23,Spain,Pieris rapae,M,Yes,Yes,Pra1,2,2.4,25-Aug-15
Pr_1988,41.61,1.18,Spain,Pieris rapae,F,Yes,Yes,Pra2,2,2.4,16-Mar-16
Pr_1927,59.75,18.66,Sweden,Pieris rapae,M,Yes,Yes,Pra49,2,NA,7-Jun-13
Pr_1926,59.63,18.52,Sweden,Pieris rapae,F,Yes,Yes,Pra2,2,NA,28-Aug-13
Pr_1179,25.02,121.53,Taiwan,Pieris rapae,F,Yes,Yes,Pra1,7,7.4,6-May-15
Pr_1180,25.02,121.53,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,6-May-15
Pr_1181,25.02,121.53,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,6-May-15
Pr_1184,25.02,121.53,Taiwan,Pieris rapae,M,Yes,Yes,Pra53,7,7.4,6-May-15
Pr_1177,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,6-May-15
Pr_1178,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,6-May-15
Pr_1182,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra7,NA,NA,6-May-15
Pr_1183,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,6-May-15
Pr_1186,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,6-May-15
Pr_1187,25.02,121.53,Taiwan,Pieris rapae,M,No,Yes,Pra53,NA,NA,6-May-15
Pr_1170,24.84,121.27,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,14-May-15
Pr_1163,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,19-May-15
Pr_1164,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,19-May-15
Pr_1166,24.96,121.45,Taiwan,Pieris rapae,F,Yes,Yes,Pra1,7,7.4,19-May-15
Pr_1171,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra7,7,7.4,19-May-15
Pr_1173,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,19-May-15
Pr_1175,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra7,7,7.4,19-May-15
Pr_1176,24.96,121.45,Taiwan,Pieris rapae,M,Yes,Yes,Pra1,7,7.4,19-May-15
Pr_1165,24.96,121.45,Taiwan,Pieris rapae,M,No,Yes,Pra53,NA,NA,19-May-15
Pr_1167,24.96,121.45,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,19-May-15
Pr_1168,24.96,121.45,Taiwan,Pieris rapae,M,No,Yes,Pra1,NA,NA,19-May-15
Pr_1169,25.02,121.53,Taiwan,Pieris rapae,F,Yes,Yes,Pra1,NA,NA,19-May-15
Pr_1172,24.96,121.45,Taiwan,Pieris rapae,M,No,Yes,Pra53,NA,NA,19-May-15
Pr_1174,24.96,121.45,Taiwan,Pieris rapae,F,No,Yes,Pra1,NA,NA,19-May-15
Pr_2013,37.18,9.73,Tunisia,Pieris rapae,F,Yes,Yes,Pra25,1,NA,26-Apr-08
Pr_2064,36.78,8.75,Tunisia,Pieris rapae,M,Yes,Yes,Pra2,1,NA,10-Jul-08
Pr_2024,36.12,9.66,Tunisia,Pieris rapae,M,Yes,Yes,Pra25,1,1.3,28-May-12
Pr_2025,36.42,9.92,Tunisia,Pieris rapae,M,Yes,Yes,Pra25,1,1.3,28-May-12
Pr_2022,34.35,8.33,Tunisia,Pieris rapae,M,Yes,Yes,Pra25,1,1.3,29-May-12
Pr_2023,35.43,9.57,Tunisia,Pieris rapae,F,Yes,Yes,Pra25,1,1.3,29-May-12
Pr_2020,33.41,9.01,Tunisia,Pieris rapae,M,Yes,Yes,Pra1,1,1.3,30-May-12
Pr_2021,33.94,8.17,Tunisia,Pieris rapae,F,Yes,Yes,Pra2,1,1.3,30-May-12
Pr_2019,35.41,8.6,Tunisia,Pieris rapae,M,Yes,Yes,Pra25,1,1.3,31-May-12
Pr_1922,37.16,10.11,Tunisia,Pieris rapae,M,Yes,Yes,Pra25,1,1.3,4-Jul-13
Pr_1921,37.25,9.79,Tunisia,Pieris rapae,M,Yes,Yes,Pra2,1,1.3,5-Jul-13
Pr_1923,35.93,8.54,Tunisia,Pieris rapae,F,Yes,Yes,Pra2,1,1.3,8-Jul-13
Pr_1278,36.86,30.77,Turkey,Pieris rapae,F,Yes,Yes,Pra36,2,2.9,6-Jun-15
Pr_1269,36.86,30.77,Turkey,Pieris rapae,M,Yes,Yes,Pra21,2,2.9,14-Jun-15
Pr_1270,36.86,30.77,Turkey,Pieris rapae,M,Yes,Yes,Pra1,2,2.9,14-Jun-15
Pr_1275,36.86,30.77,Turkey,Pieris rapae,M,Yes,Yes,Pra2,2,2.9,14-Jun-15
Pr_1276,36.86,30.77,Turkey,Pieris rapae,F,Yes,Yes,Pra2,2,2.9,14-Jun-15
Pr_1279,36.86,30.77,Turkey,Pieris rapae,M,Yes,Yes,Pra1,2,2.9,14-Jun-15
Pr_1273,36.86,30.77,Turkey,Pieris rapae,M,No,Yes,Pra2,NA,NA,14-Jun-15
Pr_1274,36.86,30.77,Turkey,Pieris rapae,M,No,Yes,Pra45,NA,NA,14-Jun-15
Pr_1271,36.86,30.77,Turkey,Pieris rapae,F,Yes,No,NA,NA,NA,21-Jun-15
Pr_1272,36.86,30.77,Turkey,Pieris rapae,M,Yes,Yes,Pra1,2,2.9,21-Jun-15
Pr_1969,50.18,36.4,Ukraine,Pieris rapae,M,Yes,Yes,Pra2,2,NA,28-Apr-14
Pr_1968,51.01,31.9,Ukraine,Pieris rapae,F,Yes,Yes,Pra2,2,NA,4-Oct-14
Pr_705,21.41,-157.8,USA,Pieris rapae,M,Yes,No,NA,NA,NA,2014
Pr_700,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_701,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_702,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_703,21.41,-157.8,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.3,2014
Pr_704,21.41,-157.8,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.3,2014
Pr_706,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_707,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_708,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_709,21.41,-157.8,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.3,2014
Pr_803,36.17,-79.56,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,2014
Pr_885,42.61,-85.64,USA,Pieris rapae,M,Yes,No,NA,NA,NA,26-May-13
Pr_1,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_10,42.61,-85.64,USA,Pieris rapae,F,Yes,Yes,Pra27,4,4.3,26-May-13
Pr_2,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_3,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.3,26-May-13
Pr_4,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.3,26-May-13
Pr_5,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_6,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_7,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_8,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,26-May-13
Pr_9,42.61,-85.64,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.3,26-May-13
Pr_16,43.13,-85.28,USA,Pieris rapae,M,Yes,No,NA,NA,NA,29-May-13
Pr_12,41.78,-90.21,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,10-Jun-13
Pr_14,41.37,-90.54,USA,Pieris rapae,M,Yes,Yes,Pra2,NA,NA,10-Jun-13
Pr_1387,41.71,-86.24,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,15-Jun-13
Pr_1125,40.42,-89.83,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.3,16-Jun-13
Pr_1134,40.42,-89.83,USA,Pieris rapae,F,Yes,Yes,Pra2,4,4.3,16-Jun-13
Pr_1394,40.39,-89.89,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.3,16-Jun-13
Pr_1403,40.39,-89.91,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.3,16-Jun-13
Pr_359,39.23,-120.76,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.1,23-May-14
Pr_20,40.39,-89.92,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,23-May-14
Pr_363,39.48,-118.67,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.2,28-May-14
Pr_361,39.52,-118.53,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,28-May-14
Pr_364,39.52,-118.53,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,28-May-14
Pr_357,38.82,-119.78,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.2,4-Jun-14
Pr_392,38.6,-121.47,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.1,11-Jun-14
Pr_900,38.92,-77.4,USA,Pieris rapae,F,No,Yes,Pra3,NA,NA,11-Jun-14
Pr_416,38.58,-121.75,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,12-Jun-14
Pr_417,38.58,-121.75,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,12-Jun-14
Pr_358,39.51,-119.82,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.2,15-Jun-14
Pr_28,41.71,-86.25,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,16-Jun-14
Pr_899,38.92,-77.4,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,18-Jun-14
Pr_898,38.92,-77.4,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,23-Jun-14
Pr_710,38.29,-85.63,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.6,24-Jun-14
Pr_84,33.91,-83.19,USA,Pieris rapae,F,Yes,Yes,Pra3,4,NA,25-Jun-14
Pr_81,33.92,-83.27,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,25-Jun-14
Pr_40,40.05,-77.96,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,26-Jun-14
Pr_41,40.05,-77.96,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,26-Jun-14
Pr_43,40.05,-77.96,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.2,26-Jun-14
Pr_51,40.2,-76.68,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,26-Jun-14
Pr_57,40.2,-76.69,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.2,26-Jun-14
Pr_59,40.2,-76.68,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.2,26-Jun-14
Pr_713,38.29,-85.63,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.6,26-Jun-14
Pr_42,40.05,-77.96,USA,Pieris rapae,M,No,Yes,Pra3,NA,NA,26-Jun-14
Pr_50,40.2,-76.7,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,26-Jun-14
Pr_56,40.2,-76.69,USA,Pieris rapae,F,No,Yes,Pra3,NA,NA,26-Jun-14
Pr_717,38.29,-85.63,USA,Pieris rapae,F,No,Yes,Pra27,NA,NA,27-Jun-14
Pr_896,38.92,-77.4,USA,Pieris rapae,F,Yes,Yes,Pra5,4,4.2,30-Jun-14
Pr_897,38.92,-77.4,USA,Pieris rapae,M,No,Yes,Pra3,NA,NA,30-Jun-14
Pr_718,38.29,-85.63,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.6,1-Jul-14
Pr_720,38.29,-85.63,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.6,2-Jul-14
Pr_722,38.29,-85.63,USA,Pieris rapae,F,Yes,Yes,Pra27,4,4.6,4-Jul-14
Pr_75,36.89,-81.37,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.2,7-Jul-14
Pr_76,36.89,-81.37,USA,Pieris rapae,M,Yes,Yes,Pra5,4,4.2,7-Jul-14
Pr_65,41.41,-81.7,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.3,9-Jul-14
Pr_69,41.05,-81.86,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.3,9-Jul-14
Pr_67,41.88,-80,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.2,11-Jul-14
Pr_68,41.88,-80,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.2,11-Jul-14
Pr_902,38.92,-77.4,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.2,11-Jul-14
Pr_62,41.23,-82.12,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,11-Jul-14
Pr_901,38.92,-77.4,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,11-Jul-14
Pr_903,38.92,-77.4,USA,Pieris rapae,M,No,Yes,Pra5,NA,NA,11-Jul-14
Pr_904,38.92,-77.4,USA,Pieris rapae,M,No,Yes,Pra3,NA,NA,11-Jul-14
Pr_729,38.29,-85.63,USA,Pieris rapae,F,No,Yes,Pra3,NA,NA,12-Jul-14
Pr_74,41.15,-81.56,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,12-Jul-14
Pr_441,38.18,-122.03,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.1,13-Jul-14
Pr_442,38.18,-122.03,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.1,13-Jul-14
Pr_440,38.18,-122.03,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,13-Jul-14
Pr_699,46.92,-114.24,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,13-Jul-14
Pr_151,40.38,-120.55,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.1,16-Jul-14
Pr_152,40.38,-120.55,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.1,16-Jul-14
Pr_154,40.38,-120.55,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.1,16-Jul-14
Pr_383,41.76,-72.67,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.1,18-Jul-14
Pr_384,41.76,-72.67,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.1,18-Jul-14
Pr_386,41.76,-72.67,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.1,18-Jul-14
Pr_125,42.24,-122.75,USA,Pieris rapae,M,Yes,Yes,Pra2,5,NA,18-Jul-14
Pr_131,42.24,-122.75,USA,Pieris rapae,M,Yes,Yes,Pra3,5,NA,18-Jul-14
Pr_121,41.3,-122.32,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,18-Jul-14
Pr_132,42.24,-122.75,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,18-Jul-14
Pr_385,41.76,-72.67,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,18-Jul-14
Pr_168,45.37,-120.78,USA,Pieris rapae,F,Yes,Yes,Pra2,4,4.8,20-Jul-14
Pr_169,45.37,-120.78,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,20-Jul-14
Pr_170,45.37,-120.78,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.8,20-Jul-14
Pr_171,45.77,-119.25,USA,Pieris rapae,F,Yes,Yes,Pra1,4,4.8,21-Jul-14
Pr_176,45.77,-119.25,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_177,45.77,-119.25,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_178,45.77,-119.25,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.8,21-Jul-14
Pr_179,45.77,-119.25,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_180,45.77,-119.25,USA,Pieris rapae,F,Yes,Yes,Pra5,4,4.8,21-Jul-14
Pr_181,45.77,-119.25,USA,Pieris rapae,F,Yes,Yes,Pra2,4,4.8,21-Jul-14
Pr_182,45.77,-119.25,USA,Pieris rapae,F,Yes,Yes,Pra3,4,4.8,21-Jul-14
Pr_183,45.77,-119.25,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_195,45.96,-121.47,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_196,45.96,-121.47,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_199,45.96,-121.47,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,21-Jul-14
Pr_200,45.96,-121.47,USA,Pieris rapae,M,Yes,Yes,Pra2,4,4.8,21-Jul-14
Pr_172,45.77,-119.25,USA,Pieris rapae,F,Yes,Yes,Pra4,NA,NA,21-Jul-14
Pr_174,45.77,-119.25,USA,Pieris rapae,F,No,Yes,Pra29,NA,NA,21-Jul-14
Pr_202,48.35,-120.04,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.8,24-Jul-14
Pr_204,48.35,-120.04,USA,Pieris rapae,F,Yes,Yes,Pra2,4,4.8,24-Jul-14
Pr_208,48.5,-119.5,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,24-Jul-14
Pr_209,48.5,-119.5,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,24-Jul-14
Pr_221,47.76,-118.71,USA,Pieris rapae,F,Yes,Yes,Pra5,4,4.8,25-Jul-14
Pr_231,47.76,-118.71,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,25-Jul-14
Pr_249,47.35,-118.02,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.8,25-Jul-14
Pr_250,47.35,-118.02,USA,Pieris rapae,M,Yes,Yes,Pra4,4,4.8,25-Jul-14
Pr_447,39.27,-120.35,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,26-Jul-14
Pr_448,39.27,-120.35,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,26-Jul-14
Pr_79,35.06,-83.43,USA,Pieris rapae,M,Yes,Yes,Pra28,NA,NA,26-Jul-14
Pr_391,41.76,-72.67,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.1,27-Jul-14
Pr_738,38.29,-85.63,USA,Pieris rapae,M,Yes,Yes,Pra3,4,4.6,27-Jul-14
Pr_739,38.29,-85.63,USA,Pieris rapae,F,Yes,Yes,Pra4,4,4.6,27-Jul-14
Pr_254,41.73,-115.9,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.2,27-Jul-14
Pr_117,45.32,-92.53,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,27-Jul-14
Pr_322,38.96,-95.24,USA,Pieris rapae,F,No,Yes,Pra3,NA,NA,27-Jul-14
Pr_323,38.96,-95.24,USA,Pieris rapae,F,Yes,Yes,Pra3,NA,NA,27-Jul-14
Pr_325,38.9,-95.24,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,27-Jul-14
Pr_326,38.88,-95.25,USA,Pieris rapae,M,Yes,Yes,Pra3,NA,NA,27-Jul-14
Pr_369,39.69,-119.83,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.2,28-Jul-14
Pr_370,39.69,-119.83,USA,Pieris rapae,M,Yes,Yes,Pra3,5,5.2,28-Jul-14
Pr_371,39.69,-119.83,USA,Pieris rapae,F,Yes,Yes,Pra3,5,5.2,28-Jul-14
