gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2311384366																										29825604										http://creativecommons.org/licenses/by-nc/4.0/			2020-04-22T13:50:27Z			https://www.inaturalist.org/observations/29825604					frannysopranny												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/29825604	29825604		frannysopranny						adult																											2017-07-19T11:10:00-04:00	11:10:00-04:00						2017/07/19 11:10 AM EDT																US	Pennsylvania				Montour County, PA, USA												41.1056343817	-76.6542322136	EPSG:4326	1000																																		64697213				frannysopranny		2019-07-30T01:06:53Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311364720																										29747045										http://creativecommons.org/licenses/by/4.0/			2020-07-20T19:41:05Z			https://www.inaturalist.org/observations/29747045					joannerusso												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/29747045	29747045		joannerusso						adult																											2019-07-27T21:06:00-04:00	21:06:00-04:00						2019/07/27 9:06 PM EDT																US	Vermont				Windsor, Vermont, United States												43.2821533333	-72.45595	EPSG:4326																																			64531423				joannerusso		2019-07-28T23:03:42Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311314508																										29560068										http://creativecommons.org/licenses/by-nc/4.0/			2019-07-28T15:59:53Z			https://www.inaturalist.org/observations/29560068					Jeff Skrentny												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/29560068	29560068		Jeff Skrentny																																	2019-07-25T23:57:55-05:00	23:57:55-05:00						Thu Jul 25 2019 23:57:55 GMT-0500 (CDT)																US	Illinois				Monticello Manor, Irving Park, Chicago, Cook County, IL, USA												41.9572333333	-87.7192383333	EPSG:4326	10																																		64169112				Jeff Skrentny		2019-07-26T06:09:29Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311299296																										28537810										http://creativecommons.org/licenses/by/4.0/			2020-01-12T02:23:14Z			https://www.inaturalist.org/observations/28537810					Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/28537810	28537810		Mark Rosenstein	https://orcid.org/0000-0003-1225-9362					adult																											2019-07-09T23:14:00-04:00	23:14:00-04:00						2019/07/09 11:14 PM EDT																US	Massachusetts				Middlesex, Massachusetts, United States												42.38704	-71.1245216667	EPSG:4326																																			62066988				Mark Rosenstein	https://orcid.org/0000-0003-1225-9362	2019-07-10T03:41:52Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311297581																										28196910										http://creativecommons.org/licenses/by/4.0/			2021-01-07T22:10:55Z			https://www.inaturalist.org/observations/28196910					Kent Miller												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/28196910	28196910		Kent Miller						adult																											2019-07-03T23:06:00-04:00	23:06:00-04:00						2019/07/03 11:06 PM EDT																US	Ohio				Stark County, OH, USA												40.8706036845	-81.5535156774	EPSG:4326	244																																		61383316				Kent Miller		2019-07-04T21:28:11Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311297460																										28157231										http://creativecommons.org/licenses/by-nc/4.0/			2020-12-29T02:38:02Z			https://www.inaturalist.org/observations/28157231					Victor W Fazio III												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/28157231	28157231		Victor W Fazio III						adult																											2019-07-03T23:29:00-04:00	23:29:00-04:00						2019/07/03 11:29 PM EDT																US	Ohio				Tiffin, OH 44883, USA												41.1014961616	-83.1782488672	EPSG:4326	2																																		61299427				Victor W Fazio III		2019-07-04T04:09:00Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311296396																										27940707										http://creativecommons.org/licenses/by-nc/4.0/			2022-03-04T22:02:51Z			https://www.inaturalist.org/observations/27940707					thegreenjay												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27537m at the request of the observer			https://www.inaturalist.org/observations/27940707	27940707		thegreenjay						adult																Wingspan=22 mm.											2019-06-12							2019/06/12																US	New York				New York, US												43.0400812067	-77.5609394066	EPSG:4326	27537																																		60858622				thegreenjay		2019-06-30T17:06:58Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311296357																										27941848										http://creativecommons.org/licenses/by-nc/4.0/			2019-08-01T13:45:31Z			https://www.inaturalist.org/observations/27941848					suegregoire												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/27941848	27941848		suegregoire						adult																3492 – Cydia pomonella – Codling Moth 26 June 2019											2019-06-26T23:22:00-04:00	23:22:00-04:00						2019/06/26 11:22 PM EDT																US	New York				5373 Fitzgerald Rd, Burdett, NY 14818, USA												42.443508	-76.758202	EPSG:4326	156																																		60860475				suegregoire		2019-06-30T17:24:35Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311284941																										27633656										http://creativecommons.org/licenses/by-nc/4.0/			2019-08-01T13:45:28Z			https://www.inaturalist.org/observations/27633656					Bill Lucas												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/27633656	27633656		Bill Lucas						adult																											2014-06-26							2014-06-26																US	Michigan				Kent County, US-MI, US												42.810518	-85.733462	EPSG:4326																																			60219262				Bill Lucas		2019-06-25T15:17:50Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
2311284915																										27633650										http://creativecommons.org/licenses/by-nc/4.0/			2019-08-01T13:45:27Z			https://www.inaturalist.org/observations/27633650					Bill Lucas												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/27633650	27633650		Bill Lucas						adult																											2017-08-16							2017-08-16																US	Michigan				Kent County, US-MI, US												42.810518	-85.733462	EPSG:4326																																			60219249				Bill Lucas		2019-06-25T15:17:43Z				47153								Cydia pomonella								Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		Cydia							species							
