gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2283161726	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/43949601/original.jpeg	https://www.inaturalist.org/photos/43949601					2019-06-30T06:50:23Z	joannerusso		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	joannerusso
2283050806	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/43307592/original.jpeg	https://www.inaturalist.org/photos/43307592					2019-06-28T05:23:28Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
2273276281	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/42907817/original.jpeg	https://www.inaturalist.org/photos/42907817					2019-06-24T05:34:29Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
2273276281	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/42907825/original.jpeg	https://www.inaturalist.org/photos/42907825					2019-06-24T05:34:49Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
2251909897	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/40059310/original.jpg	https://www.inaturalist.org/photos/40059310					2019-05-24T03:59:45Z	ksandsman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	ksandsman
2236251453	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/34338277/original.jpg	https://www.inaturalist.org/photos/34338277					2011-05-02T11:09:19Z	larrymcdaniel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	larrymcdaniel
2236249270	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/34322657/original.jpg	https://www.inaturalist.org/photos/34322657					2010-05-05T04:00:16Z	larrymcdaniel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	larrymcdaniel
2005265111	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/22970578/original.jpeg	https://www.inaturalist.org/photos/22970578					2018-08-11T05:59:46Z	Delmar W. Bachert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Delmar W. Bachert
1990617869	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/30786803/original.jpeg	https://www.inaturalist.org/photos/30786803					2015-06-14T05:20:47Z	Even Dankowicz		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Even Dankowicz
1990617727	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/30786799/original.jpeg	https://www.inaturalist.org/photos/30786799					2013-08-06T04:50:52Z	Even Dankowicz		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Even Dankowicz
1990466496	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/29853557/original.jpeg	https://www.inaturalist.org/photos/29853557					2017-07-27T05:21:01Z	Luke Armstrong		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luke Armstrong
1986568212	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/29822296/original.jpeg	https://www.inaturalist.org/photos/29822296					2017-07-30T05:58:52Z	Luke Armstrong		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luke Armstrong
1945422086	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/26178604/original.jpg	https://www.inaturalist.org/photos/26178604					2018-08-21T21:24:00Z	hullyjr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hullyjr
1945422083	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/26175770/original.jpg	https://www.inaturalist.org/photos/26175770					2018-08-18T20:37:00Z	hullyjr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hullyjr
1945420235	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/24494779/original.jpg	https://www.inaturalist.org/photos/24494779					2010-08-22T01:40:55Z	Van Truan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Van Truan
1898796104	StillImage	image/jpeg	https://static.inaturalist.org/photos/23305160/original.jpg	https://www.inaturalist.org/photos/23305160					2012-08-15T05:04:11Z	William Hull		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	William Hull
1891296788	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/22600537/original.jpg	https://www.inaturalist.org/photos/22600537					2018-08-05T02:05:25Z	K Ag		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	K Ag
1890719876	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/22818961/original.jpeg	https://www.inaturalist.org/photos/22818961					2018-08-07T05:27:35Z	judywelna		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	judywelna
1890708790	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/22733153/original.jpeg	https://www.inaturalist.org/photos/22733153					2018-08-07T05:51:56Z	Kent Miller		iNaturalist	http://creativecommons.org/licenses/by-nd/4.0/	Kent Miller
1883916528	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21479202/original.jpg	https://www.inaturalist.org/photos/21479202					2018-07-17T01:39:23Z	Alan Kneidel		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Alan Kneidel
1883914826	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21271445/original.jpg	https://www.inaturalist.org/photos/21271445					2018-07-13T05:43:11Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
1883913021	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20782483/original.jpg	https://www.inaturalist.org/photos/20782483					2018-07-04T07:09:04Z	Darrell Lawson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darrell Lawson
1880613436	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20622399/original.jpg	https://www.inaturalist.org/photos/20622399					2018-07-01T05:24:47Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
1880613079	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20620528/original.jpeg	https://www.inaturalist.org/photos/20620528					2018-07-01T13:44:16Z	joannerusso		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	joannerusso
1880613079	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20620534/original.jpeg	https://www.inaturalist.org/photos/20620534					2018-07-01T13:43:58Z	joannerusso		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	joannerusso
1880607413	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20577391/original.jpg	https://www.inaturalist.org/photos/20577391					2018-06-30T06:43:15Z	Brian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian
1880523546	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20009282/original.jpg	https://www.inaturalist.org/photos/20009282					2018-06-20T06:07:49Z	Mark Rosenstein		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Mark Rosenstein
1880504897	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/19893003/original.jpeg	https://www.inaturalist.org/photos/19893003					2018-06-15T05:11:53Z	suegregoire		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	suegregoire
1836635029	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14171651/original.jpeg	https://www.inaturalist.org/photos/14171651					2010-06-17T04:46:44Z	Andrew Block		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrew Block
1703212860	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/12057260/original.jpg	https://www.inaturalist.org/photos/12057260					2017-07-28T09:54:27Z	smwhite		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	smwhite
1702460400	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/11295612/original.jpeg	https://www.inaturalist.org/photos/11295612					2016-05-29T16:17:16Z	Jason J. Dombroskie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason J. Dombroskie
1586923422	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/9262791/original.jpg	https://www.inaturalist.org/photos/9262791					2017-07-24T03:05:37Z	John Boback		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John Boback
1586144052	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/9587119/original.jpeg	https://www.inaturalist.org/photos/9587119					2017-08-03T04:45:03Z	judywelna		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	judywelna
