gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2981008608																										63814348										http://creativecommons.org/licenses/by-nc/4.0/			2020-10-30T12:09:29Z			https://www.inaturalist.org/observations/63814348					raiderladd												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/63814348	63814348		raiderladd					male																												2020-10-30T07:54:29-04:00	07:54:29-04:00						Fri Oct 30 2020 07:54:29 GMT-0400 (EDT)																US	North Carolina				Fayetteville Rd, Raeford, NC, US												35.0275447094	-79.0924442608	EPSG:4326	134																																		139229994				raiderladd		2020-10-30T11:55:46Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
2980816195																										64209151										http://creativecommons.org/licenses/by-nc/4.0/			2020-11-05T16:56:17Z			https://www.inaturalist.org/observations/64209151					Susan J. Hewitt												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/64209151	64209151		Susan J. Hewitt					male	adult																New to me. The male of this species has the spots at the end of the wings like this.											2020-11-04T15:45:21-05:00	15:45:21-05:00						Wed Nov 04 2020 15:45:21 GMT-0500 (EST)																US	New York				West Channel, New York, NY, US												40.7742439444	-73.9434896596	EPSG:4326	10																																		140162408				Susan J. Hewitt		2020-11-05T00:28:20Z				311582								Drosophila suzukii								Animalia	Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila							species							
2979656325																										SDP902210-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902210-20			Eric Spana						Adult													MT886793			*unvouchered										Duke.Bio203L.S20.FA1B	2019-10-03														"::meta:{""specimen"":[""Michaela Kolarova""],""image"":[""Michaela Kolarova""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Michaela Kolarova""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Michaela Kolarova""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979656322																										SDP902012-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902012-20			Eric Spana						Adult													MT807028			*unvouchered										Duke.Bio203L.S20.TD2A	2019-09-12														"::meta:{""specimen"":[""Franklin Feng""],""image"":[""Franklin Feng""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Franklin Feng""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Franklin Feng""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979641319																										SDP902215-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902215-20			Eric Spana						Adult													MT807012			*unvouchered										Duke.Bio203L.S20.FB1C	2019-03-10														"::meta:{""specimen"":[""Talya Jeter""],""image"":[""Talya Jeter""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Talya Jeter""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Talya Jeter""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979641318																										SDP902116-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902116-20			Eric Spana					M	Adult													MT806920			*unvouchered										Duke.Bio203L.S20.AA3B	2019-09-25														"::meta:{""specimen"":[""David Coffman""],""image"":[""David Coffman""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""David Coffman""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""David Coffman""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979640311																										SDP902213-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902213-20			Eric Spana						Adult													MT886807			*unvouchered										Duke.Bio203L.S20.FD1B	2019-10-03														"::meta:{""specimen"":[""Peter Nam""],""image"":[""Peter Nam""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Peter Nam""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Peter Nam""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979638221																										SDP902005-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902005-20			Eric Spana					M	Adult													MT807016			*unvouchered										Duke.Bio203L.S20.TD4A	2019-09-12														"::meta:{""specimen"":[""Connor Haughey""],""image"":[""Connor Haughey""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Connor Haughey""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Connor Haughey""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979626231																										SDP902038-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902038-20			Eric Spana					M	Adult													MT806955			*unvouchered										Duke.Bio203L.S20.TC1C	2019-09-12														"::meta:{""specimen"":[""Rachita Gowdu""],""image"":[""Rachita Gowdu""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Rachita Gowdu""]}::endMeta:"								United States		North Carolina					103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
2979624260																										SDP902184-20																																					MATERIAL_SAMPLE				http://bins.boldsystems.org/index.php/Public_RecordView?processid=SDP902184-20			Eric Spana						Adult													MT886806			*unvouchered										Duke.Bio203L.S20.FB2A	2019-10-03														"::meta:{""specimen"":[""Winnie Lu""],""image"":[""Winnie Lu""],""trace_run_site"":[""Generic Commercial Lab""],""trace_upload"":[""Winnie Lu""],""sequencing_run_site"":[""Generic Commercial Lab""],""sequence_upload"":[""Winnie Lu""]}::endMeta:"								United States		North Carolina			Durham		103	103										36.0018	-78.9437																																								Student					BOLD:AAC2499	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2499	BOLD:AAC2499									Arthropoda	Insecta	Diptera	Drosophilidae		Drosophila														
